epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2809216380119324,4.333869457244873,1e-04,0.0452008917927742,9.661768913269043
1,0.33960551023483276,3.5107271671295166,1e-04,0.3978794515132904,3.1668050289154053
2,0.37256065011024475,2.9958033561706543,1e-04,0.4200613796710968,2.7471134662628174
3,0.4018153250217438,2.588836431503296,1e-04,0.451171875,2.3374953269958496
4,0.4258683919906616,2.262981653213501,1e-04,0.4577288031578064,2.0969693660736084
5,0.44922325015068054,2.0206222534179688,1e-04,0.48828125,1.826987385749817
6,0.4647233486175537,1.8312383890151978,1e-04,0.5178571343421936,1.6486517190933228
7,0.48130562901496887,1.6853153705596924,1e-04,0.5297154188156128,1.5311048030853271
8,0.5030197501182556,1.566045880317688,1e-04,0.5432477593421936,1.432495355606079
9,0.5180659890174866,1.4784839153289795,1e-04,0.5549665093421936,1.3661839962005615
10,0.5376854538917542,1.398659586906433,1e-04,0.5615234375,1.3406685590744019
11,0.5485424995422363,1.344861388206482,1e-04,0.5665457844734192,1.298527479171753
12,0.5630651116371155,1.2910237312316895,1e-04,0.5553850531578064,1.3340550661087036
13,0.5732937455177307,1.253899335861206,1e-04,0.5891461968421936,1.20400071144104
14,0.5853726863861084,1.212508201599121,1e-04,0.6012834906578064,1.1708108186721802
15,0.5949729681015015,1.1820690631866455,1e-04,0.5906807780265808,1.1942079067230225
16,0.609041690826416,1.1474049091339111,1e-04,0.5867745280265808,1.201884388923645
17,0.617245614528656,1.1201791763305664,1e-04,0.6058872938156128,1.1408432722091675
18,0.6268109679222107,1.0952321290969849,1e-04,0.6124442219734192,1.1492453813552856
19,0.6393436789512634,1.0614781379699707,1e-04,0.6104910969734192,1.1466073989868164
