iter	MultiClass
0	8.908372732
1	21.6231952
2	44.27373437
3	43.72639016
4	33.15240048
5	30.02717385
6	23.366494
7	23.04324099
8	27.17141169
9	26.35423625
10	19.78302234
11	22.97024883
12	22.42453508
13	16.9197374
14	17.69850177
15	18.3582667
16	16.77196081
17	15.63305111
18	14.15281002
19	12.19454456
20	11.89080943
21	11.16654136
22	10.7431143
23	10.48873146
