iter	Logloss
0	0.6660113406
1	0.6431011689
2	0.6237461654
3	0.6069079029
4	0.5919569837
5	0.5795219465
6	0.5682554333
7	0.5586165212
8	0.5503144673
9	0.5428359138
10	0.5366350689
11	0.5311831031
12	0.5263742674
13	0.5223462304
14	0.5187349536
15	0.5153312603
16	0.5125653863
17	0.5101127611
18	0.5077931709
19	0.5059372411
20	0.5043206219
21	0.502742193
22	0.5013480438
23	0.4999043223
24	0.4987158502
25	0.4976889813
26	0.4967386532
27	0.4958375487
28	0.4950965111
29	0.4943402268
30	0.4936060306
31	0.4927953399
32	0.4920244451
33	0.4911950563
34	0.4905196924
35	0.4900093186
36	0.4895149183
37	0.489041973
38	0.4885982647
39	0.4880495567
40	0.4876628827
41	0.4873239352
42	0.4869059293
43	0.4864648173
44	0.4861760361
45	0.4856503554
46	0.4853597421
47	0.4849322932
48	0.4846971825
49	0.4843141295
50	0.4840370393
51	0.4836325026
52	0.4830948084
53	0.4824322608
54	0.4820250627
55	0.4817189942
56	0.4812774035
57	0.4807022662
58	0.4803725901
59	0.4800029745
60	0.4796259012
61	0.4792790064
62	0.4789899352
63	0.4786030386
64	0.4783244476
65	0.4778799775
66	0.4774356622
67	0.4770247877
68	0.4767417264
69	0.476432033
70	0.4761158933
71	0.4757839474
72	0.4755340805
73	0.4751831543
74	0.4748695115
75	0.4744151833
76	0.4739810451
77	0.4736889348
78	0.4734182371
79	0.4730940546
80	0.4728601953
81	0.4726284002
82	0.4724728694
83	0.4722519849
84	0.4719345426
85	0.4714411172
86	0.4711868205
87	0.4709553696
88	0.4704875426
89	0.4701030257
90	0.4698778331
91	0.4695927558
92	0.4692753168
93	0.469114294
94	0.4689084578
95	0.4686678956
96	0.4684491795
97	0.4683381372
98	0.467810242
99	0.4675390335
100	0.4673202864
101	0.4670812914
102	0.4668241381
103	0.466655645
104	0.4664422696
105	0.4661557268
106	0.4657836341
107	0.4655415186
108	0.4652266172
109	0.4650145879
110	0.4648126674
111	0.464388229
112	0.4641330935
113	0.4638104732
114	0.4633743782
115	0.4631350232
116	0.4629407109
117	0.4627604548
118	0.4626190763
119	0.462407225
120	0.462260764
121	0.4619690557
122	0.4615743048
123	0.4613950938
124	0.4612210121
125	0.4609073129
126	0.4606550598
127	0.4603465291
128	0.4601881265
129	0.4596881018
130	0.4593060263
131	0.4591543148
132	0.4589003426
133	0.4587461245
134	0.4585354767
135	0.4584141209
136	0.4582106034
137	0.45782999
138	0.4574931271
139	0.4570536719
140	0.4569205248
141	0.45669415
142	0.456361573
143	0.4561369503
144	0.4559520092
145	0.4557621281
146	0.4554691537
147	0.4551751984
148	0.4548250518
149	0.4546687827
150	0.4544121177
151	0.4541249823
152	0.4538735229
153	0.4536026892
154	0.4532673813
155	0.4531207443
156	0.4528842095
157	0.4525777267
158	0.4523022562
159	0.4518990725
160	0.4517508386
161	0.4514261327
162	0.451230114
163	0.4508436638
164	0.4507323485
165	0.4504308104
166	0.4500949427
167	0.4498468866
168	0.4495070928
169	0.4492668136
170	0.4490949942
171	0.448995497
172	0.4487006265
173	0.4484964489
174	0.4483164842
175	0.4481376946
176	0.4479482614
177	0.4476816529
178	0.4474843555
179	0.4472506267
180	0.4469215145
181	0.4467980075
182	0.4464582947
183	0.4462243579
184	0.4460382982
185	0.4458873878
186	0.4455679543
187	0.4454096106
188	0.4450571698
189	0.4447797119
190	0.4444958931
191	0.4442799267
192	0.4440565486
193	0.4436994753
194	0.4434370333
195	0.4431773236
196	0.442998719
197	0.4428158569
198	0.4425853557
199	0.442281152
200	0.442123262
201	0.4419286342
202	0.4416532949
203	0.4414172481
204	0.441121319
205	0.440817487
206	0.4405889917
207	0.4403480967
208	0.4401567594
209	0.4400237137
210	0.4398363808
211	0.4396678474
212	0.4394124909
213	0.4392065358
214	0.4389693809
215	0.4386456954
216	0.4383820296
217	0.4381913174
218	0.4380442971
219	0.4377628379
220	0.4375353322
221	0.4373611224
222	0.4371905663
223	0.4370108531
224	0.4367222886
225	0.4365676011
226	0.4363546549
227	0.4360358372
228	0.4358764421
229	0.4357136072
230	0.4354048338
231	0.4352148482
232	0.4348784472
233	0.4347045272
234	0.4344612447
235	0.4342995482
236	0.4340431294
237	0.433895451
238	0.4337807909
239	0.4336082174
240	0.4334278692
241	0.433121395
242	0.4330157187
243	0.4328289194
244	0.43256248
245	0.432308257
246	0.4321465587
247	0.4318754624
248	0.4317015883
249	0.4315757357
250	0.4314019506
251	0.4312299805
252	0.4310968243
253	0.4308749981
254	0.4307276381
255	0.4305868949
256	0.4304073027
257	0.4301723653
258	0.4299607192
259	0.4298004479
260	0.4296096287
261	0.429415459
262	0.4292481722
263	0.4289793847
264	0.4287131905
265	0.4285581866
266	0.4284291654
267	0.4282332023
268	0.428034238
269	0.4277902553
270	0.4275522307
271	0.427351017
272	0.4271960296
273	0.4269899522
274	0.4268006736
275	0.4265570144
276	0.4263296397
277	0.4260919616
278	0.4258943005
279	0.4257642592
280	0.4256409007
281	0.4254079335
282	0.4252601891
283	0.425140572
284	0.4249351423
285	0.4246797608
286	0.4244584808
287	0.4241980505
288	0.4240619117
289	0.4239023471
290	0.4237849182
291	0.4236577803
292	0.4234651686
293	0.4233022572
294	0.4231315461
295	0.4230164361
296	0.4227890264
297	0.4225646217
298	0.4224716564
299	0.42233733
300	0.4222136272
301	0.4220677133
302	0.421872184
303	0.4216653347
304	0.4215607091
305	0.4213945916
306	0.4211504463
307	0.4210318913
308	0.4208540637
309	0.4206416305
310	0.4204522305
311	0.4203125855
312	0.4200610524
313	0.4199239988
314	0.4197028128
315	0.4195517739
316	0.4194300238
317	0.4192694196
318	0.4190819815
319	0.4188225443
320	0.4186627235
321	0.4184430229
322	0.4183006405
323	0.4180764799
324	0.4178257379
325	0.4177396192
326	0.4176186425
327	0.4174036398
328	0.4172156322
329	0.4171366887
330	0.4170312019
331	0.416889738
332	0.416712592
333	0.4165428544
334	0.416369978
335	0.4161668522
336	0.4160145583
337	0.4158125463
338	0.4156678518
339	0.4154857703
340	0.4152543601
341	0.4150334402
342	0.4148338482
343	0.4147218985
344	0.4144871817
345	0.4143856205
346	0.414244964
347	0.4140152514
348	0.4138828531
349	0.4137295879
350	0.413625288
351	0.4133700374
352	0.4131711752
353	0.4130640329
354	0.4129605464
355	0.4127001207
356	0.4124824909
357	0.4123051489
358	0.4121660014
359	0.4120675959
360	0.4119368309
361	0.411785858
362	0.411595392
363	0.4114998291
364	0.4114126743
365	0.4112270327
366	0.4110518553
367	0.410956557
368	0.4107642474
369	0.4106693419
370	0.4105580776
371	0.4103727253
372	0.410254659
373	0.4100977394
374	0.4099392924
375	0.4098357875
376	0.409713634
377	0.4096370864
378	0.409537268
379	0.4093849995
380	0.4092856974
381	0.409168671
382	0.4090445805
383	0.4089459012
384	0.4087927897
385	0.4086534665
386	0.4084531882
387	0.4083650744
388	0.4082707861
389	0.4080973711
390	0.4080065281
391	0.4078771648
392	0.4077431771
393	0.4075226551
394	0.4074281985
395	0.4073040285
396	0.407243833
397	0.4071372393
398	0.4069730042
399	0.4068203582
400	0.4066907324
401	0.4065548566
402	0.4064536809
403	0.4062492071
404	0.4060340059
405	0.4059069215
406	0.4057276988
407	0.4056331793
408	0.405493262
409	0.4054213046
410	0.4052812763
411	0.4051927028
412	0.4051125737
413	0.4050132247
414	0.4049140902
415	0.4046903998
416	0.4045277754
417	0.4043657428
418	0.4042047355
419	0.4040406397
420	0.4039264475
421	0.4037700872
422	0.4035564839
423	0.4034457597
424	0.4032279881
425	0.4031165253
426	0.4030220433
427	0.4029139033
428	0.4027728285
429	0.402592886
430	0.4024442257
431	0.4023703595
432	0.402210441
433	0.4020961645
434	0.4019824731
435	0.4018781602
436	0.4016976696
437	0.4015702327
438	0.4014145772
439	0.4013090618
440	0.4011454259
441	0.4010506203
442	0.4009679699
443	0.4008887257
444	0.4008009059
445	0.4007002459
446	0.4005845259
447	0.4005204899
448	0.4004338045
449	0.4002849442
450	0.4002112336
451	0.400145963
452	0.3999934282
453	0.3998817613
454	0.3998083941
455	0.3995480123
456	0.3994494411
457	0.3993806307
458	0.3992259675
459	0.3991275304
460	0.3989403801
461	0.3987738958
462	0.3986256593
463	0.3985250147
464	0.3984322658
465	0.3983570754
466	0.3982563825
467	0.3981534345
468	0.3979995899
469	0.3978783169
470	0.3977231119
471	0.3975204675
472	0.3973723421
473	0.3972890418
